ItemCode,NumeroDescripcionesOriginales,NumeroDescripcionesNormalizadas,DescripcionMasFrecuente,PorcentajeCorrespondencia,PrimeraFecha,UltimaFecha,CategoriasAsociadas,ClasificacionCorrespondencia
301219,1,1,"CODO SOLD H/N CED 40 3 "" 90º",100.0,2024-07-04 00:00:00,2024-07-04 00:00:00,FERRETERIA,Correspondencia univoca
301221,1,1,"CODO SOLD H/N CED 40 5 "" 45º",100.0,2024-07-04 00:00:00,2024-07-04 00:00:00,FERRETERIA,Correspondencia univoca
301223,1,1,"CODO SOLD H/N CED 80 1 1/2 "" 90º",100.0,2025-07-01 00:00:00,2025-07-01 00:00:00,FERRETERIA,Correspondencia univoca
301224,1,1,"CODO SOLD H/N CED 80 1 "" 90º",100.0,2025-08-01 00:00:00,2025-08-01 00:00:00,FERRETERIA,Correspondencia univoca
301225,1,1,"CODO SOLD H/N CED 80 1 1/2 "" 90º",100.0,2025-08-01 00:00:00,2025-08-01 00:00:00,FERRETERIA,Correspondencia univoca
301229,1,1,"CODO SOLD H/N CED 40 5 "" 90º",100.0,2024-07-04 00:00:00,2024-07-04 00:00:00,FERRETERIA,Correspondencia univoca
301230,1,1,"CODO SOLD H/N CED 40 10 "" 90º",100.0,2025-07-01 00:00:00,2025-07-01 00:00:00,FERRETERIA,Correspondencia univoca
301231,1,1,"CODO SOLD H/N CED 40 8 "" 90º",100.0,2025-06-01 00:00:00,2025-08-01 00:00:00,FERRETERIA,Correspondencia univoca
301233,1,1,"CODO SOLD H/N CED 40 1 1/2 "" 90º",100.0,2024-07-04 00:00:00,2024-07-04 00:00:00,FERRETERIA,Correspondencia univoca
301234,1,1,"CODO SOLD H/N CED 40 1 1/4 "" 90º",100.0,2024-07-04 00:00:00,2025-08-01 00:00:00,FERRETERIA,Correspondencia univoca
301238,1,1,"CODO SOLD H/N CED 40 2 1/2 "" 45º",100.0,2025-07-01 00:00:00,2025-07-01 00:00:00,FERRETERIA,Correspondencia univoca
301241,1,1,"CODO SOLD H/N CED 40 2 "" 90º",100.0,2024-07-04 00:00:00,2024-07-04 00:00:00,FERRETERIA,Correspondencia univoca
301309,1,1,CINTA AISLANTE 3M NEGRA (20 YARDAS),100.0,2024-03-06 00:00:00,2024-04-09 00:00:00,FERRETERIA,Correspondencia univoca
301314,1,1,CINTA DE TEFLON 1/2,100.0,2024-04-15 00:00:00,2024-09-10 00:00:00,FERRETERIA,Correspondencia univoca
301323,1,1,CHOCKFAST ORANGE,100.0,2024-05-13 00:00:00,2024-05-14 00:00:00,FERRETERIA,Correspondencia univoca
301333,1,1,CARGA DE OXIGENO,100.0,2024-10-15 00:00:00,2024-10-15 00:00:00,FERRETERIA,Correspondencia univoca
301338,1,1,CAUTIN WELLER 40 110V /220V (PISTOLA),100.0,2024-03-20 00:00:00,2024-03-20 00:00:00,FERRETERIA,Correspondencia univoca
301340,1,1,CEMENTO CONTACTO AFRICANO (1/4 GL),100.0,2024-04-15 00:00:00,2025-12-01 00:00:00,"FERRETERIA, QUIMICOS",Correspondencia univoca
301341,1,1,"CEPILLO COPA GRATA AC. 3 ""X5/8 "" TRENZAD",100.0,2025-04-01 00:00:00,2025-12-01 00:00:00,"ACEITE, FERRETERIA, PINTURAS, QUIMICOS",Correspondencia univoca
301342,1,1,"CEPILLO COPA GRATA AC. M14 X 3"" TREN",100.0,2024-09-18 00:00:00,2024-09-18 00:00:00,FERRETERIA,Correspondencia univoca
301348,1,1,CANDADO BARRILITO 50MM,100.0,2024-07-04 00:00:00,2024-07-04 00:00:00,FERRETERIA,Correspondencia univoca
301349,1,1,CANDADO BARRILITO 60MM,100.0,2024-07-04 00:00:00,2024-07-04 00:00:00,FERRETERIA,Correspondencia univoca
301359,1,1,CARCAZA LAMPARA SELLADA SYLVANIA 2X9W IP,100.0,2024-09-11 00:00:00,2024-09-11 00:00:00,REPUESTOS ELECTRICOS,Correspondencia univoca
301361,1,1,CARGA DE ACETILENO,100.0,2024-10-15 00:00:00,2024-10-15 00:00:00,FERRETERIA,Correspondencia univoca
301371,1,1,"CAJA RECTANGULAR PARA INTERPERIE 4X4 """,100.0,2024-09-24 00:00:00,2024-09-24 00:00:00,REPUESTOS ELECTRICOS,Correspondencia univoca
301372,1,1,CAJA SOBREPUESTA PLASTICA IP65 C/TAPA,100.0,2024-03-06 00:00:00,2024-03-06 00:00:00,REPUESTOS ELECTRICOS,Correspondencia univoca
301376,1,1,CANALETA PVC ADHESIVA,100.0,2024-03-06 00:00:00,2024-03-06 00:00:00,REPUESTOS ELECTRICOS,Correspondencia univoca
301380,1,1,"CADENA DE A/INOX DE 1/4 """,100.0,2024-09-13 00:00:00,2024-09-13 00:00:00,FERRETERIA,Correspondencia univoca
301381,1,1,CADENA DE AC. GALV. DE 1/2,100.0,2024-03-07 00:00:00,2024-04-08 00:00:00,FERRETERIA,Correspondencia univoca
301385,1,1,"CADENA GALV. DE 5/8 """,100.0,2024-02-20 00:00:00,2025-12-01 00:00:00,FERRETERIA,Correspondencia univoca
