Nivel,Serie,Mes,Real,Prediccion
NAVE_CATEGORIA,NAVE_011 | SERVICIOS DE MANTENIMIENTO,2025-07,4200.0,2425.0
NAVE_CATEGORIA,NAVE_011 | SERVICIOS DE MANTENIMIENTO,2025-08,5315.4,4200.0
NAVE_CATEGORIA,NAVE_011 | SERVICIOS DE MANTENIMIENTO,2025-09,18776.57,5315.4
NAVE_CATEGORIA,NAVE_013 | SERVICIOS DE MANTENIMIENTO,2025-01,108.7,1804.16
NAVE_CATEGORIA,NAVE_013 | SERVICIOS DE MANTENIMIENTO,2025-03,5025.0,108.7
NAVE_CATEGORIA,NAVE_013 | SERVICIOS DE MANTENIMIENTO,2025-04,2486.21,5025.0
NAVE_CATEGORIA,NAVE_013 | SERVICIOS DE MANTENIMIENTO,2025-05,550.0,2486.21
NAVE_CATEGORIA,NAVE_013 | SERVICIOS DE MANTENIMIENTO,2025-06,323.74,550.0
NAVE_CATEGORIA,NAVE_013 | SERVICIOS DE MANTENIMIENTO,2025-07,2163.63,323.74
NAVE_CATEGORIA,NAVE_013 | SERVICIOS DE MANTENIMIENTO,2025-08,3140.0,2163.63
NAVE_CATEGORIA,NAVE_013 | SERVICIOS DE MANTENIMIENTO,2025-09,625.0,3140.0
NAVE_CATEGORIA,NAVE_013 | SERVICIOS DE MANTENIMIENTO,2025-10,3200.0,625.0
NAVE_CATEGORIA,NAVE_013 | SERVICIOS DE MANTENIMIENTO,2025-12,13135.920000000002,3200.0
NAVE_CATEGORIA,NAVE_014 | SERVICIOS DE MANTENIMIENTO,2025-01,2635.0,462.7
NAVE_CATEGORIA,NAVE_014 | SERVICIOS DE MANTENIMIENTO,2025-02,1646.22,2635.0
NAVE_CATEGORIA,NAVE_014 | SERVICIOS DE MANTENIMIENTO,2025-03,1468.0,1646.22
NAVE_CATEGORIA,NAVE_014 | SERVICIOS DE MANTENIMIENTO,2025-05,540.0,1468.0
NAVE_CATEGORIA,NAVE_014 | SERVICIOS DE MANTENIMIENTO,2025-06,7736.38,540.0
NAVE_CATEGORIA,NAVE_014 | SERVICIOS DE MANTENIMIENTO,2025-07,2205.0,7736.38
NAVE_CATEGORIA,NAVE_014 | SERVICIOS DE MANTENIMIENTO,2025-08,750.0,2205.0
NAVE_CATEGORIA,NAVE_014 | SERVICIOS DE MANTENIMIENTO,2025-09,13008.06,750.0
NAVE_CATEGORIA,NAVE_014 | SERVICIOS DE MANTENIMIENTO,2025-10,695.47,13008.06
NAVE_CATEGORIA,NAVE_014 | SERVICIOS DE MANTENIMIENTO,2025-11,888.0,695.47
NAVE_CATEGORIA,NAVE_014 | SERVICIOS DE MANTENIMIENTO,2025-12,410.0,888.0
