FechaCont,ItemCode,Quantity,PrecioUnitarioSinDescuento,DescuentoUnitario,PrecioUnitario,SubTotal,Tipo,ParteTecnica,Tipo_norm,ParteTecnica_norm,ProveedorAnonimo,NaveAnonima
2024-05-15,PS00006,1.0,,,,26400.0,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,PROV_032,NAVE_005
2023-05-10,P005926,640.0,0.0,0.0,41.0,26240.0,BUQUE,PINTURAS,BUQUE,PINTURAS,PROV_028,NAVE_008
2023-08-01,PS00009,1.0,25833.2,25833.2,25833.2,25833.2,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_029,NAVE_007
2022-07-22,PS00006,1.0,25685.39,25685.39,25685.39,25685.39,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_009,NAVE_009
2023-11-13,P007912,32.0,0.0,0.0,719.81,25106.97,REMOLCADOR,ACEITE,REMOLCADOR,ACEITE,PROV_004,NAVE_005
2025-06-01,PS00006,1.0,,,,25000.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_033,NAVE_001
2025-06-01,PS00006,1.0,,,,25000.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_033,NAVE_001
2021-03-17,PS00009,1.0,24995.0,24995.0,24995.0,24995.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_029,NAVE_002
2023-03-15,P007293,12.0,0.0,0.0,2041.91,24502.92,REMOLCADOR,FERRETERIA,REMOLCADOR,FERRETERIA,PROV_034,NAVE_010
2023-05-09,P007293,12.0,0.0,0.0,2041.91,24502.92,REMOLCADOR,FERRETERIA,REMOLCADOR,FERRETERIA,PROV_034,NAVE_010
2021-12-22,P005327,90.0,271.9,271.9,271.9,24471.0,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_022,NAVE_001
2023-11-13,P008188,32.0,0.0,0.0,700.32,24427.16,REMOLCADOR,REPUESTOS MECANICOS,REMOLCADOR,REPUESTOS MECANICOS,PROV_004,NAVE_005
2023-10-23,PS00006,1.0,24000.0,24000.0,24000.0,24000.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_023,NAVE_007
2024-03-14,PS00006,1.0,,,,23981.53,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,PROV_001,NAVE_004
2022-01-17,PS00006,1.0,24328.0,1216.4,23111.6,23111.6,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_035,NAVE_001
2024-10-29,302817,4.0,,,,22058.54,BUQUE,REPUESTOS MECANICOS,BUQUE,REPUESTOS MECANICOS,PROV_012,NAVE_007
2021-04-28,P005147,1.0,0.0,0.0,21861.88,21861.88,BUQUE,REPUESTOS MECANICOS,BUQUE,REPUESTOS MECANICOS,PROV_022,NAVE_008
2021-09-09,P004907,3.0,0.0,0.0,7270.5833,21811.7499,BUQUE,REPUESTOS MECANICOS,BUQUE,REPUESTOS MECANICOS,PROV_022,NAVE_008
2023-11-13,P008228,24.0,0.0,0.0,827.18,21639.03,REMOLCADOR,REPUESTOS MECANICOS,REMOLCADOR,REPUESTOS MECANICOS,PROV_004,NAVE_006
